time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
1.620000	8.946551	488.815247	0.217138	-8.673591	478.162567	0.183096
1.630000	8.982450	488.692291	0.217141	-8.059469	478.367432	0.184033
1.640000	8.820446	488.984741	0.217106	-7.887235	479.340637	0.184809
1.650000	8.816304	488.451813	0.217116	-7.663331	479.071259	0.185324
1.660000	8.501041	488.418945	0.217163	-8.020179	479.216736	0.185748
1.670000	8.348702	487.369293	0.217110	-8.138589	478.537476	0.185872
1.680000	8.322470	485.888672	0.217096	-8.235471	477.120636	0.185820
1.690000	7.904114	485.221008	0.217166	-9.023441	476.926422	0.185708
1.700000	7.792737	483.373688	0.217102	-9.206977	475.402802	0.185401
1.710000	7.555714	482.373871	0.217130	-9.757050	474.822754	0.185229
1.720000	7.490821	481.323151	0.217157	-10.098826	473.713806	0.185056
1.730000	7.274049	481.116486	0.217173	-10.632751	473.668304	0.185046
1.740000	7.122631	480.763611	0.217168	-10.877646	472.914948	0.185275
1.750000	7.245975	480.604156	0.217166	-10.839969	471.988007	0.185707
1.760000	6.833602	481.880127	0.217227	-11.081635	471.705261	0.186499
1.770000	7.037487	482.030273	0.217221	-10.660739	469.934753	0.187370
1.780000	7.024601	483.111603	0.217335	-10.345874	469.216980	0.188457
1.790000	7.162672	483.758972	0.217388	-9.781269	467.915253	0.189479
1.800000	7.173257	485.090393	0.217520	-9.317853	467.910645	0.190583
1.810000	7.314090	486.606689	0.217633	-8.862510	467.818298	0.191735
1.820000	7.394631	487.503296	0.217656	-8.183262	467.358826	0.192699
1.830000	7.187524	490.087494	0.217822	-7.967432	468.413025	0.193799
1.840000	7.485758	491.048431	0.217863	-7.230594	468.384003	0.194799
1.850000	7.175558	492.139923	0.217969	-6.647690	468.946472	0.195688
1.860000	7.414882	493.220001	0.218029	-6.122376	468.977203	0.196453
1.870000	7.340323	493.880707	0.218271	-5.848955	469.416382	0.197071
1.880000	7.212837	493.997284	0.218368	-5.705248	469.907532	0.197446
1.890000	7.727383	493.610138	0.218504	-5.627742	469.736481	0.197677
1.900000	7.467349	494.379028	0.218778	-5.932919	470.957336	0.197843
1.910000	7.696547	493.582001	0.218904	-5.969519	470.603546	0.197800
1.920000	7.699308	493.516235	0.219121	-6.129373	470.956482	0.197684
1.930000	8.075322	493.379364	0.219340	-6.151441	470.760986	0.197541
1.940000	8.146659	493.347229	0.219576	-6.351663	471.224976	0.197253
1.950000	8.100175	493.313812	0.219664	-6.510441	471.200470	0.196992
1.960000	8.465603	492.620636	0.219722	-6.519053	470.687958	0.196507
1.970000	8.078544	493.115295	0.219775	-7.121871	471.372375	0.196133
1.980000	8.207870	492.185730	0.219790	-7.139095	470.469666	0.195613
1.990000	8.155864	491.900696	0.219798	-7.344161	470.331146	0.195277
2.000000	7.876500	491.372009	0.219842	-7.394754	470.235565	0.194821
2.010000	7.729224	491.299591	0.219965	-7.955053	471.128052	0.194524
2.020000	7.437433	490.458618	0.220046	-8.127286	471.637146	0.194253
2.030000	7.632574	488.975342	0.220033	-8.230626	471.956421	0.193990
2.040000	7.349068	488.744324	0.220150	-8.662288	474.189239	0.194195
2.050000	7.397392	486.993042	0.220193	-8.467448	475.041748	0.194558
2.060000	7.242292	486.011505	0.220215	-8.606312	476.233093	0.195239
2.070000	7.188905	484.551727	0.220302	-8.277453	476.957062	0.196139
2.080000	7.127694	482.822235	0.220435	-7.963664	477.842987	0.197322
2.090000	6.931172	481.264038	0.220583	-7.635344	478.997467	0.198460
2.100000	7.095477	478.819885	0.220744	-7.271499	479.933716	0.199678
2.110000	6.973974	477.966583	0.220991	-7.410901	482.073395	0.201059
2.120000	7.193968	475.705322	0.221118	-6.732192	482.633698	0.202335
2.130000	7.164973	474.355865	0.221347	-6.285999	484.024902	0.203693
2.140000	7.128614	472.802826	0.221564	-5.621284	485.541412	0.205050
2.150000	6.982719	471.336243	0.221726	-5.186931	487.145508	0.206149
2.160000	6.932553	470.486572	0.221957	-4.780029	488.919891	0.207209
2.170000	7.209156	468.745361	0.222123	-4.115314	489.759583	0.208123
2.180000	6.899876	468.537842	0.222454	-4.516834	492.004333	0.209013
2.190000	7.132296	467.234009	0.222641	-4.163216	492.552032	0.210001
2.200000	7.207775	466.640533	0.222876	-4.058261	494.009552	0.211125
2.210000	7.141040	466.379028	0.223078	-3.819287	494.926910	0.212310
2.220000	7.446177	465.865875	0.223359	-3.176639	495.521240	0.213488
2.230000	7.457684	465.598206	0.223677	-2.688464	496.138458	0.214637
2.240000	7.904574	464.455444	0.223960	-1.906952	495.858215	0.215485
2.250000	8.067038	464.943573	0.224280	-1.853667	496.741486	0.216325
2.260000	8.380919	464.007294	0.224463	-1.406397	496.283600	0.216832
2.270000	8.509326	464.340607	0.224573	-1.335889	496.146484	0.217065
2.280000	8.695262	464.688477	0.224586	-1.321357	496.393280	0.217157
2.290000	8.452717	464.865234	0.224457	-1.307901	496.487396	0.216991
2.300000	8.124567	466.001739	0.224241	-1.723415	497.382385	0.216607
2.310000	7.957041	466.124512	0.223977	-1.836982	497.266876	0.216052
2.320000	7.447558	467.330231	0.223869	-2.458639	498.682373	0.215568
2.330000	7.523958	467.213501	0.223683	-2.691693	498.408447	0.214873
